Description,Commenting,Ogling/Facial Expressions/Staring,Touching /Groping
I was walking and a man decided to call quotmadam quotmadamquot,0,0,0
"It was during night hours , when few guys were commenting on a girl who passed by .",1,0,0
"on our way to school, my friend was stopped by a man who started touching her breasts, we ran away out of fear. it was horrifying.",0,0,1
a boy an unknown boy touched me,0,0,1
motorbike number BLA 463 tried to assault me in juhu. Gone towards andheri,0,0,0
misbehaved,1,1,0
"While i was walking on the road,there were some boys who comment and whistles at me.",1,0,0
I have witnessed harassment in Delhi many times.So many incidents that actually cannot be described.No action was taken by any of the males around.That was the most irritating part.,0,0,1
"two years ago, when i was returning home town from village a boy followed me up to my house he was forcing me to give  my number to him. for more than a week he keep on following me to my house.",0,0,0
The incident took place at satya palace street during evening.There was this day when I was coming from my tuition and a guy on a cycle whistled and passed a comment.,1,1,1
chain snatching,1,0,1
Girl of other college got harassed in the morning.,0,0,1
A man spanked me in Aquamagica in a way no one saw.,0,0,1
"I live in Laxmi Baug Sion, and there are shops along the stretch from the station road right upto the entrance of my chawl. There are muslim shopkeepers and junglee boys throughtout the lane of Shivar Guest house who often stare dirtily and pass filthy comments. This happens everyday. This incident is faced by all of us girls in this area and even ladies. I don't understand why authorities can't station a police booth here in this area which is really dangerously populated by all these hooligans. Please help.Outside Sion Station Tunnel, towards Shivar Guest house, going towards Laxmi Baug",1,0,0
I was touched/groped at chanakyapuri,0,0,1
there was a man who was pretending to be drunk and started touching girl's private parts and he claims that he does not know what he is doing,0,0,1
when i was going to parlour an old people knowingly tried to touch me and i felt very nervous.,0,0,0
this guy stopped his car in front of me while i was walking towards the college and he clicked pictures. I couldn't do anything so I just hide my face and ran away.,1,0,0
ILL TREATED,1,0,0
the bus stop on main road is very unsafe. an auto driver tried pulling me in. it was dark and very few people were around. i somehow got away and ran home.,0,0,1
"In my neighborhood, there is a junction of boys. They gather over there. it makes girl uncomfortable to pass by  when they gather over there.",1,0,0
this incident happened near my college,1,0,0
Several girls pressed against me in a crowded metro.,0,0,1
my friend is always harassed by the same guy near the toilet complex in sanjay camp. no one around her helps and she is scared,1,1,0
"Passing vulgar comments, making facial expressions. happened in evening",1,1,1
A middle aged man opened his zip in a crowded metro and teased/touched a girl with his genitals. The girl and I along with some men shouted and caught hold of the man. He was beaten up and was bleeding profusely after that. He apologised a lot after that but we handed him over to the metro authority.,0,0,1
"i was going to my school in shiv vihar. i noticed a boy following me. when i asked me why he was doing this, he started groping and touching me. i started shouting and told him to go away, he then abused and slapped me. he pushed me, i fell to the ground. he went away and i ran to school after that. this happened early in the morning.",0,0,1
She is a student and she does not feel safe even while traveling in the morning. She faces assault almost everyday but till now she has never taken any action or ever reported to any police official.,1,0,1
i was walking on the street with my friend and a man passed a comment. i verbally answered back to him,1,0,0
it happens in trains,0,0,1
In afternoon at kamla nagar.,0,0,1
A GUY WAS BEATEN VERY BADLY AND MOREOVER IN THAT COMMENTING AND SNATCHING IS VERY COMMON MAKING IT UNSAFE AT NIGHT.,0,0,0
"I was watching a movie with my friend at Fun Cinemas, Kota, and someone sitting beside me was watching porn on his cell phone",0,0,0
it gets really disturbing during the night when you are travelling alone and roads are deserted hence more police are required on the streets,0,0,0
My computer professor touch my chest in an inappropriate way.,0,0,1
u r cheasy and stuffs they told,1,1,0
One of my friend was passing by the bus park area where a gang of hoodlums commented on her and teased her. They even humiliated her in front of others.,0,1,0
a man tried touching me inappropriately in the park  in the afternoon.,0,0,1
Chasing and following,0,0,0
Guys touch or try to press your butts,0,0,1
A few men eveteased me while i was walking to my church.,1,0,0
I was with my friend from school then some boys seated across the road started whistling at her calling her names,1,0,0
The new guys working at Chattarpur metro station parking are precarious men. They were stalking me. I want o highlight for everyone to know.,0,0,0
i was stalked by a man all the way to my hostel.,0,0,0
I was stalked by a man near my college for a week,0,0,0
"I was returning from a club at night with a few friends when a few guys came and stopped and asked us quotKya rate hai?quot (What is your rate?)When we shooed them away, they followed us.",0,0,0
A man comes and groped my butt and walked off. It was crowded at that time so i couldn't catch hold off him.,0,1,1
saw 2 men on a pulsar snatching a woman's neck piece and earrings.,0,0,0
abused by shopkeeper who said he wont give me stuff because I am inappropriately dressed,1,0,0
My friend had gone to the beach with some friends and they noticed a group of guys clicking their pictures and laughing.,0,0,0
Boy was continuously following me till I reached the metro station. He had passed comments and also touched me by his hand.,1,1,1
"i was coming back from borivali, in the train a guy along with this two were taking pictures",0,0,0
"Touching and very disgusting touching , grabbing elbow and hands at metro station in evening .",1,0,1
"I was returning from Salon, there group of girls commented on me saying quot see the hero is comingquot",1,0,0
an unknown person tease me while i was walking on the street,1,0,0
followed by a boy,0,0,0
humiliating,1,0,1
"A guy was standing at the entrance of the Duck Park. when i entered the park, he made some expressions. i ignored it and then he stopped me forcefully and started to ask me about my prsonal details.",1,1,0
"One woman in her 40's, status single, sexually harassed by her driver. She complained to police but they refused to write an FIR. After showing evidence of mobile and and influence of a political party, FIR was done by police.",0,0,0
some guys walk in scorpio cars and try to kidnap girls...poor lighting after 7 pm,1,0,1
"This happened to an individual who was leaving for her office at 0800am, when she saw her watchman making comments on her attire. Being an independent working lady, she ignored the watchman and left for work. Later that day in the union meeting, she reported the incident to the union's core committee. As a result, the union made a complaint against that watchman in his security agency and in a time span of three days the watchman was replaced with another one.",1,0,0
guys from random schools passed very bad comments.,1,0,0
the man stopped a car in front of us and started masturbating.,0,0,0
there was this boy who was calling and even following me,0,0,0
"while travelling in a bus, the conductor of that bus whistles and take my pictures without my permission. i feel annoyed but cant do anything else.",0,0,1
"it has happened to my friend,she was on her scooty,when a group of boys came and snached her gold chain and rings......",0,0,0
it was our farewell day from school and while returning a group of boys started commenting on us with very rough words it was embarassing,0,1,0
Chain Snatching.,0,0,0
Someone pinched her on the metro,0,0,1
A lot of commenting came on my way while I was out during the night hours .,1,0,0
Person who snatched the chain was walking.This incident took place in the evening.,0,0,0
touching and groping,1,0,1
"After finishing my college I was returning home. some hooligan guys commented, whistled me and stalked me to the home.",1,0,0
Harassment,1,1,0
Happened while travelling in the DTC bus,1,0,0
A man passed several comments on my appearance in the bus and stared at me continuously.,1,0,0
A friend of mine was abused or commented by a guy and when she did not respond he tried to touch her.,1,0,1
stalking,0,0,0
I was crossing the road when a truck came there was a boy inside it who saw me and shouted quotkya dhunadar maal hai quot and then I cried like hell,1,0,0
sexual invites,0,0,0
"whenever i go to the toilet, the guys standing there pass obscene comments and make it so difficult for me to use the toilet. they do this all the time",1,1,0
I went out shopping with a group and some boys started teasing us.,1,0,1
commenting on my legs,1,0,0
I was roaming around the market shopping with my sister where a random aged man popped into my ears saying quotkya matak rahi haiquot,1,0,0
it was really bad.,1,0,0
"When I had a lunch meeting with my coach , he tried to touch my breasts and when I got mad at him he tried to describe me as childish and uncivilised",0,0,1
"This incident took place near College of Vocational studies,sheikh sarai.When you enter the college and walk towards your left you will see a wall with metal grill.I was in the college with my friends today in the afternoon around 1245 and suddenly i noticed a man standing on the other side of that wall.I saw him looking at me and he was nodding his head in a way as if he was trying to call me where he was.He did that thrice.After that he passed a flying kiss.I started shouting and abused him.Then,he got down but i was still able to see his face that he is still there looking at us.What we saw after two minutes was disgusting.He was again standing up there and he was looking at us and masturbating.I abused at him again and then we had to leave.This shows how desperate some people can be.I share this experience to tell all those  people reading this,that speak up !Your silence gives them power !Pin the creeps who harass you !",0,0,0
a guy on the bike whistled,0,0,0
I and my friend were whistled at by three men.,0,0,0
Sexual harassment is when somebody of the opposite sex forcefully wants to fuck another person without their permission . It happened on the 1st of January 2015 at Molyko when my friends and I were coming back from the church.A group of guys came out from the bush and threatened us with knives forcing us to lie down so that they could have what they wanted.Fortunately for us some good Samaritans were passing so we creamed for help.,0,0,0
"The Gurgaon Sohna road is very unsafe at night especially if you are alone . With no street lights and less people around, it is very vulnerable",0,0,0
Commenting and catcalls. Happened in the evening,1,0,0
"I was spanked by a guy on the bike, it was dark",0,0,1
while traveling to hospital from home to gangalal hospital. few guys followed us. we thought they will stop but they didn't even after we enter to hospital. we were scared,0,0,0
"There are always men , bhayas , who sit all across right up from the Urinal (near the signal before sion station, right up to the staircase which takes you to the sion station). These people are very scary as they pass dirty comments at girls passing by or even couples getting out of the taxis or autos as that is the auto stand. Request for a stationed officer there at all times after 8 pm onwards. PLEASE HELP....Sion Station Urinal, Urinal before the sion station up to the stone staircase before the Station",1,0,0
My friend's daughter was raped in a vacant plot by a man from our own neighborhood. She was left bleeding in that plot and was found the next morning. She died as a result of her injuries and trauma. Her mother is still fighting the case.,0,0,0
"A group of my friends and me were going to the bus stop after celebrating Holi at BCAS, DU. While passing through narrow streets in broad daylight, someone called us from the back in a helpless tone as though someone needed help. As all of us turned back, it was a disgusting scene. That person had taken out his private part from his pants and was showing us even before we could react he ran away.This happened in the narrow street near the quarters of Ministry of External affairs, Opposite JM International School, Section 2 and 6, Dwarka, New Delhi",0,0,0
I was traveling in a bus. It was so crowded. there was a pick pocketer. He was trying to snatch my bag. Later I ttold every one and everyone shouted at him and he ran away.,0,0,0
"USUALLY PEOPLE SITTING IDLE, COMMENT ON GIRLS.",1,0,0
This friend of mine was sitting in an auto rickshaw (sharing). for a long time she felt something poking her breast area. Assuming it to be the man's umbrella she kept quiet only to find out later that it was his hand all the while. She was shattered.,0,0,1
"Some guys used to follow me during the month of feburary ,when i used to travel for my coaching classes",0,0,0
I was sexually abused in a concert. An unknown person grabbed my breast so tight. I was so afraid.,0,0,1
harassment,0,1,1
"Her step mother beats her and makes her carry 20 litres of water, then if she doesn't do she beats her with sufurias until the small girl has so many bruises at the neck and face",0,0,0
40 more year old man tries to touch me while travelling form kathmandu to Banepa but i defend myself by pinching him by the hair pin.,1,1,1
I saw a group of men seated together and they were calling some ladies who were passing by our school,0,0,0
in bus from satya niketan to a anand vihar,1,0,0
A person stalked me.,1,0,0
"i was getting back home from the wednesday market in the evening. it was dark already. on my way back home, i saw a man staring at me, before i could figure what was happening, he snatched my chain and ran away",0,0,0
"We were walking with a friend to the women meeting, we passed nearby some pub when a man looking out through the window started calling my friend inviting her to go and have one bottle.  She warned that man to concentrate on his business and avoid admiring other people's wives.",0,0,0
This survey is carried out by safecity (Red Dot Foundation) along with its safecity audit at street market in Mumbai.,1,0,0
IN my home town hyderabad i waz walking with my cousin. somebody came and asked me an address .then he stared showing me pictures of nude men and women .being in class 7 i got scared and ran away,0,0,0
A lady was crossing through the open fields on her way to work when a man jumped out of the bushes with his pants down and started masturbating in front of her. She being alone was scared and ran away from him . She was scandalized and quite shaken with the incident.However this was never reported.,0,0,0
Two men on the bike came extremely close and I was blocked between the bike and them.Couldn't move.They laughed and zoomed off.,1,1,0
"In bus, a guy tried to touch me and  in some area around, a group of boys were singing cheap songs.",1,0,1
My sister was touched by a man next her in the bus. It was done intentionally again and again then my sister cried in the bus.,0,0,1
"While travelling in public transport , I have witnessed many indecent incidents happening . I have even taken the initiative to stop such instances . They usually take place during evening hours .",1,1,1
A man was giving me weird and disgusting looks near a public toilet,0,1,0
This incident took place in the afternoon.I was working in oye fm and the culprit was my boss.He used to find reasons to touch me and used to make me stay at work even after i was done with my work.,0,0,1
sending me vulgul messages on my facebook account,1,0,0
"The incident took place in my village where 16 year old girl was first verbally harassed by the boy and at last he raped her while the girl was out in the forest, collecting fodders.",1,1,0
My bag was snatched by 23 guys who came in their motorcycle while I was in a rickshaw.It happened in the afternoon.,0,0,0
Catcalls Commenting and bad facial expressions,0,1,0
stalking..,1,1,0
"i was on my scooty and was returning home from work. on a red light near my office, a ragpicker approached me, he made indecent gestures first and then flashed. he also had a blade in his mouth. As soon as the light turned green, I just sped my scooter away. I was scared and disgusted by this.",0,0,0
guys form groups and sit near the circles and keep commenting on girls... once i was walking back to my township from that way  along with my friend and two guys from one of the group kept following me on one bike and kept asking me for my name. I just kept quite and ignored them and continued to walk....they blocked my way with their back and caught my hand and asked whats my name....i pushed them away...got my hand released and walked really fast towards my township...once they saw the security guards...they took a Uturn and before they went....the guy who was driving asked me if i could come for one night and rode off...!!!!  when can girls be free of this kind off harrassment?????,0,0,0
A guy started commenting on my friend and started doing dirty gestures which made her feel unsafe.,1,0,0
Inappropriate comments,1,0,0
I was on my way from school a certain man removet his quotduduquot (penis) and started urinating infront of me I was so shocked,0,0,0
A man gave bad signs from hand and teased me badly in a bus.,0,0,0
I was commented at,1,0,1
i was walking to sophia college from kemps corner when a man whistled at me while driving. i was really angry as i hate this kind of behaviour.,0,0,0
I was proposed by one of my friend. I said no to him due to this he distributed my number to his friends and they started to text me. I blocked their number afterwards.,0,0,0
Someone touched me in the afternoon.,1,0,1
Kurla station very dimly lit and very unsafe,0,0,0
"Somebody pinched me when I was waiting for the train at Kurla station. Platform 7, Kurla Station.",0,0,1
"At Andheri Station, an incident of cat calling took place.",0,0,0
when i was walking back to my home some boys were commenting on me. they were asking numbers and they were taking pictures.,1,0,0
"On morning,Touching",1,1,1
He touched me inappropriately,0,0,1
"Dirty stares, deliberate pushing and touching. Morning and evening at the stations.",0,1,1
Two boys were staring at me very badly. I felt so uncomfortable table and moved from that place.,0,1,0
I was being ogled at while travelling in the metro.,1,0,1
while crossing road infront of my college.,1,1,0
"This incident occurred 6 months ago but i still feel it was yesterday because the shock was too bad.I was returning from my yoga class at 8 am. Normally I am with friends but that day I was alone. I walked past the church on the way home and 2 boys on a bike came towards me. They touched me and were staring at my chain and purse which I had in my hand. They could not snatch it at that time but they followed me and were staring at me.I stood there for a little while and was looking at them. The boy in the pillion seat continued to look at me but then they went away. I started walking back home. As I reached the Hanuman Temple, 2 other boys came from the opposite side on the bike. They stopped the bike and the pillion rider asked me where is the hardware shop. I told them I didn't know and they could ask someone else. Very few shops were open at that hour and there were very few people on the road. They said it was ok and just started moving.Suddenly the pillion rider grabbed my chain but fortunately he grabbed my dress instead and I used my presence of mind to lift my hand and hold onto my chain. My sleeve tore in the process and there were nail scratches on my upper arm. God saved me and my chain. They sped away on the bike.It appeared that the 2 boys on the first bike and the 2 on the second bike were working together in tandem. Many such incidents have occurred on this road. Now there is a policeman posted opposite the church.",0,0,1
Staring,0,1,0
A divorced man who lived beside us had custody of his two daughters .He will wait until when they are 1 year 3 months and then he will rape them.,0,1,0
the guy kept on following me untill i reached inside my campus.,1,1,0
chain snatching,0,0,0
a lady wearing a short dress and heels walks by a group of men standing by the road.the men start shouting at her of how she was indecently dressed the girl was forced to run off on heels fearing she could undressed,1,0,0
harassment in the bus during the day,1,1,1
I was whistled upon while I was travelling out during the evening hours .,0,0,0
Boys took pictures on dapoli beach of girls.,0,0,0
once a girl was coming from her office and 45 boys surrounded her.they started teasing her and were trying to physically damage her.,0,0,1
my neighbour was attacked by three men at night when her husband was on nightshift and raped her,0,0,0
When we went shopping for sari there the shopkeeper touched my sister in an inappropriate way when he was helping her with sari.,0,0,1
"one day in the evening I was passing at makina stage, I saw a man whistling to a woman passing.",0,0,0
stalked by an auto rickshaw driver,0,0,0
he called me up and talked indecently to me,1,0,0
"Yes,near the ground ogling, stalking and  whistling",1,1,0
2 guys on a bike tried snatching a lady's chain.After a couple of days they were seen commenting on girls who were leaving their college.,1,0,0
catcalling and commenting,1,0,0
night 9.30 pm,0,0,0
"It happened in the month of May 2014. I was waiting for bus to go home back from duty.I had to wait for more than half an hour. There were three to four members scattered in the bus stop.suddenly an auto passed by my side. I gave way and stood aside just to see who all are there in that auto.I could not see any passengers .suddenly that auto stopped just 23 yards away from me.The auto man got down and started facing me and calling me with a mischievous smile. I got scared. Seeing  my fearful face he came nearer. I was helpless. there were no ladies standing near me. i was so scared so scared ,praying and calling God inside silently. All of a sudden my bus came and i just rushed into it. I was saved .Thank GOd. I came home and told my husband he asked me if i noted the number of the autorickshaw. How can i at that time .My mind was not working out of fear. nothing could be done. At times these are pathetic situation for Ladies .",0,0,0
there was a person who was stalking me when i was shopping with my mother and he was passing dirty comments.,1,0,0
"Staring and by making indecent expressions and touching and all.All this happens generally in Metro and Buses.Even if you just pass by the bus stands in the evening,you might be the victim of inappropriate comments and all.",1,1,1
My friend and me were playing and the guard threw his phone no.in a chit and ran away and was again and again harassing her,1,1,0
someone was following one lady on the street of jyatha. it has basically poor street light and narrow path.,0,0,0
I was in metro yellow line (between kashmeree gate and rajiv chowk) in the afternoon with my friend.Touching.It was not appropriate and my friend wasn't feeling comfortable.,0,0,1
"A young man moved passe me along the street and touched my buttocks.When I tried retaliating everyone turned against me.They said I claim to be a virgin, very beautiful and a Virgin Mary.I felt embarrassed and shocked as some females joint in throwing insults at me.",0,0,1
followed by 2 bikers on different bikes,0,0,0
"I was waiting for a bus for Bhiwandi. I noticed a man who was looking at me in a lewd manner and whenever i looked at him he looked away as if to indicate nothing his happening. So i was boarding my bus when he deliberately stood behind me allowed me to go ahead. I knew he wanted to touch me in someway or the other. And he did, but i did not fucking give up and held him by his collar and complained to the conductor who beat him up and dragged him away.",0,0,1
She does not feels safe at the station. She faces assault almost everyday.,1,0,0
He does not feel safe at the stations because of the crowd,0,0,1
I was at the bus stop and a man tried to harrass me.,0,0,1
on my way home there was this man who was calling out on people then pretends not to have called them.he did the same to me but mine was different ashe started following me while calling out loud.i stopped and asked him what he wanted only to find out that he wanted me to follow him to his house,0,0,0
when i was coming to school there i meet grp of boys. they were schl students. i was carrying tiffin for my sister in one hand and bundle of exercise book on other hand. they were starring at me and after few minutes they start passing bad comment by saying they can carry me along with my stuffs.,1,0,0
I was stared at on the bus,0,1,0
I SAW AT CHHUCHEPATI SOME GUYS ARE TAKING PICTURES OF A GIRL ............N GIRL IS SAYING NO NO.........THEY DONT WANT TO LITION,0,0,0
someone I know waz grabbed and touched in a metro,1,1,1
Catcalls and bad commenting,1,0,0
"once I was travelling in a public vehicle, an old man touched me at my private part. I felt uncomfortable and moved to another place.",0,0,1
I was with my cousins in the playing arena near the foodcourt. We were gokarting and a man started filming us. I was unaware till my uncle went up to the man and smashed his phone.,0,0,0
a 5 year old girl was touched on her private part by a young man who tried to defile her,0,0,0
"There was a time when some woman used to live with many girls orphans young girls but she was using them as sex workers,she used to take money from old men in exchange she would give the girls to men for sexual plessure",0,0,0
a guy was commenting on me when Iw asgoing to my home,1,0,1
Some guys were asking me to give them money,0,0,0
a mother was caught and raped by some rasta at the dam site,0,0,0
"while i was goin to the college, a group of boys commented in my dressing style.",1,0,0
I was commented at and touched/groped.,1,0,1
"I was going market and at that time two three boys were teasing one girl. The girl really seems scary and she was sweating. I also followed them. The girl was walking very fastly. The boys did not stop following her, they end up going her home and their was big issue on that time.",0,0,0
"It happened when I was a kid,so dont remember much just that he touched me badly.It happened in the evening.",0,0,1
"When I was 14 years old, a man tried to touch my private body parts in the name of playing hide and seek.",0,0,1
"A young girl of about 17 years was sent to buy at night.On her way back,she was stopped by one gentle man and at that very moment he asked her to be his lover.She refused.He decided to harass the girl",0,0,0
I was harassed in the train,0,0,1
"While we were in a bus in karol bagh, a boy was staring at us in an inappropriate manner.This happened in the evening around 6 months back.",1,1,0
i experieced a chain snatching incident in the area .its not safe for anyone due to improper lighting,1,0,0
While i was in a crowded bus one of the guy touched me and acted as if it was by mistake but he kept on doing it.,0,0,1
"we were four girls walking when we saw some boys approach us and they began to cal one of us when she ignored them, they started insulting her",0,0,0
"During evening while travelling , even when I was wearing a simple tee and jeans the guys lecherous eyes won't turn back till the time he didn't comment , or started touching me .",1,1,1
I saw a man trying to touch a woman's breast inside a packed public bus.,0,0,1
"Nothing much happened, but still security is a concern",1,0,0
Happened to another passenger. she was harassed for the dress she was wearing. two guys we passing comments on her.,1,0,0
"I was travelling back home, but since there was lot of crowd on the road side, i did not get the rickshaw. Hence i decided to walk down. I did call my husband to pick me up, but till he comes instead of waiting i decided to walk. I started walking from Thane station after crossing the Alok hotel's backside road, some group of young drummers started following me at first I ignored by later they started passing comment i could not do anything but decided to keep walking silently. They were following me till my husband came. On seeing my husband they just ran away and some of they stopped under the pretext of smokeThane Station road, near aalok hotel",0,0,0
cellphone got snatched.,0,0,0
MY FRIENDS AND I WENT TO GIRGAON CHOWPATTY. WHILE WE WERE WALKING A GROUP OF BOYS WAS FOLLOWING. INITIALLY WE THOUGHT IT WAS COINCIDENCE BUT SOON REALISED THAT THEY WERE FOLLOWING US SO WE ALL DECIDED TO CHANGE OUR ROUTE.,0,1,0
Chain snatching,0,0,0
sexually harassed in a school by her own teacher. teacher used to touch her private areas and abuse her sexually.,0,0,1
here the condition is really very bad.Its actually very difficult to walk around in envening and nigt,1,1,1
THIS SURVEY IS CARRIED BY SAFECITY (RED DOT FOUNDATION) ALONG WITH ITS SAFETY AUDIT AT STREET MARKETS IN MUMBAI.,0,0,1
I overheard some comments being passed on a girl at the metro station.It happened in the evening around 6.,1,1,0
at night chain snatching in bus,1,0,1
eve treasing .wistles.saying unnecessary stuffs and some time touching,1,0,1
boys from some nearby slum were whistling,0,0,0
My relative touches me everyday i feel so harassed,0,0,1
People commented filthy comments while I was out during afternoon .,1,0,0
"I was traveling in the bus, I saw a girl being touched by a boy in her private parts.",0,0,1
I was walking towards olympic stage to take a bus and some men working in a welding shop strted talking in low tones and they all turned and looked at me.,0,1,0
one afternoon I was walking with a friend of mine when we met some boys at a corner and they started commenting on my friend,1,0,0
my friend and I was eveteased by one passerby on bike.HE took rounds and passed us several times,0,1,0
as usual after college i was on my way back to my hostel and some local guys called me chinki..,1,0,0
sexual invites,1,1,1
The person following my sister and passed comments and tried to touch her.Dongri from Sabu Siddique hospital to Shalimar.,1,1,1
it was really bad.,1,1,0
"It was a few months ago.This man who has been making advances towards me touched my breats while I went to buy drinks and we were discussing .I became angry and gave him a slap on his face.He too became so angry and wanted to beat me up.When people came and asked what the problem was ,he said i insulted him.Imagin!",0,0,0
"Staring unnecessarily, commenting weird stuff",0,0,1
"Felt harassed and humiliated with me taking pictures, passing comments.",1,0,0
Rickshaw wala tried to take a girl into the wrong way and called over his friends to come for her.It happened in the morning.,0,0,0
touched me at an inappropriate place,0,0,1
"This happened in the last 30 days during the night. While I was on my way to home I noticed a group of 45 boys sitting at one corner. When a girl was crossing that way, these guys commented on her. She ignored and went by.",1,0,0
Disturbed by guys commenting and staring,1,0,0
A guy passed comments and tried to touch me at the back.It happened around 7pm.,1,1,0
some group of guys followed me and my friend on the way to school and we had to change the route,0,0,0
"On 13th cross,8th main, an auto rickshaw man asked for sexual favours showing money. I couldn't understand at first because of language problem but later I understood when he showed me the middle finger.",0,0,0
Me and my sister were going to shopping to buy cloths. while walking we encountered the group of boys and they started teasing my sister and commenting on her and inviting her to movie. We were embarrassed but couldn't take a stand. We just avoid them and walk along.,1,0,0
misbehaved,1,0,1
misbehaved,1,1,0
in the evening try to touch me on the bus stand,0,0,1
Staring,1,0,0
I was in the car with my uncle and my sister alongwith my uncle's friend going to my village and my uncle touched me in an inappropriate place.,0,0,1
Biker passed a comment and asked to come with him.It happened in the evening.,1,0,1
misbehaved,1,1,0
"the boys in group started staring, hooting asking personal information and commenting about my body figure",1,1,0
I am a 16 year old married to a young boy of 25 years.We agreed that I will be going to school while in his house but suprisingly he wants us to start having children out of my wish. It has brought serious problems that he tears my pants because he wants us to have sex even in my unsafe period .,0,0,0
"while travelling in a public vehicle, a guy touched me in a private part.",0,0,1
"n the eyes of many, the offices of Pakistan are filled with lecherous bosses. All too often, working women have tales of their perversions the lesser ones include gaze and glance, the occasional grope, the unwanted text message, the innuendo the bigger ones include invitations to meet outside the office, over lunch or dinner  with plum assignments, promotions, job security and professional reputations hanging in the balance.Resignation is no guarantee of reprieve there are reference letters to be obtained, future employment to be worried about. In an expensive, inflationwracked and increasingly competitive Pakistani workplace, there are many women who continue to be targets for men with power.The arithmetic of want and need is in display divorced women, single mothers, the older and the unmarried are particularly vulnerable to harassment. In the words of one single mother who endured 10 years of harassment, the pursuit is constant, and any attempt to escape is punished further with denials of promotions and humiliation before colleagues. Coworkers, often witnesses, say nothing, eager to avoid a situation that could result in retaliation, a loss of their own positions. Sexual harassment from superiors is hence often coupled with isolation by colleagues who watch, witness and withdraw. The harassed are not only the persecuted but also the pariah.There is a law against all this in Pakistan. The Protection Against Harassment of Women at the Workplace Act 2010, which will be six years old, is a thorough document. The code of conduct included in it defines harassment as any unwelcome sexual advance, request for sexual favours or other verbal or written communication or physical conduct of a sexual nature, or sexually demeaning attitudes, causing interference with work performance or creating an intimidating, hostile or offensive work environment, or the attempt to punish the complainant for refusal to comply with such a request or is made a condition for employment.It goes on to add that the above is unacceptable behaviour in the organisation and at the workplace, including in any interaction or situation that is linked to official work or official activity outside the office.The abuse of authority, creating a hostile work environment, and retaliation are the three categories that mandate action against a harasser. Detailed stipulations are set out for the establishment of investigative committees, ombudspersons, etc, who are charged with resolving the issues raised. A range of penalties from censure to outright dismissal are postulated. All employers are required to display the code of conduct prominently on their premises.When the law was passed in 2010, it was feted as a success. It would take time for its provisions to change the culture of the workplace, the more circumspect said. Change comes slowly but a law is a first step a legislative commitment supported by elected representatives signals that the path ahead will be a different one, in this case one where the harassment of women in the workplace would not be permitted.Not much has happened since then. Harassment is still rampant in the workplace (the majority of workplaces have little idea as to what the code of conduct is, let alone of the requirement to display it visibly in employee areas).Women still regularly report being verbally harassed and even physically assaulted by their superiors who, making calculations regarding their need for a job, their desire to get ahead, their inability to refuse, unabashedly continue with such acts. In the face of unwanted advances, Pakistans women continue to find themselves alone, unsure of where to take their complaints and how to protect themselves.Even in the development sector, where the very agenda of many organisations is to empower women, similar problems persist. In one, a cofounder of an organisation faced so much harassment by a male colleague that she was ultimately forced out. New, more pliant women hired to take her position have since complained of similar problems. The man in question, however, remains untouched, undoubtedly displaying similarly harassing behaviour to new prey. Other men have come to his defence  perhaps recognising their own behaviour in those of others and eager to ensure that no one gets punished.Misogyny is manufactured in two major flavours in Pakistan. The first is on the premises of religious obscurantists whose hankering for the reinstatement of a strictly segregated society sees the harassmentfilled workplace as a grim substantiation of their warnings. Women should not be in the workplace at all, the male conscience is unable to police itself.The second, one that wrongly labels itself as liberal and progressive, imagines it to mean a licence to harass and harangue. A womans willingness to put up and shut up is, in its mind, the product of this progressivism, its illogical mindset equating women in the public sphere with women sexually available to all men who may want them. The two flavours compete, their poisons infecting the working lives of women  doctors, lawyers, shopkeepers, bankers, teachers, professors and countless others  who are daily forcefed these bitter morsels of misogyny.Laws alone cannot change society the sexual harassment of women (and nearly everyone who reads this article either knows someone or is someone who has faced harassment) continues because it is considered permissible, something women ask for when they leave their homes.This belief is reflected all the time and everywhere in Pakistan, in soap operas that vilify working women as predators out to seduce innocent men, to workplace conversations in which men dissect the desirability of their female colleagues, their participation often a measure of a masculinity that fears competition from women. In the matter of sexual harassment in Pakistans workplaces, there are the guilty and the very guilty, they are far too many men complicit, quiet, eager to embrace or enforce their right to harass.",0,0,1
Commenting in mehram nagar near delhi cantt  in the evening.,1,0,0
harassment,1,0,0
I was going back to home around 8 in the evening when a stranger forcibly held me and tried to molest me. He used certain cheap language as if he was trying to convince me for an intercourse session. I was lucky enough to break free and flee.,0,0,1
In bus one man tried to touch me I felt so uncomfortable. It felt like I am getting negative vibes from them.,0,0,1
A guy working at our college canteen was taking pictures and making videos of me and my friends during morning hours .,0,0,0
Age 15 yearsCommenting at Leh Bazaar when I was shopping (day time),1,0,0
Misbehaviour by a guy,1,1,0
guy followed me till my home and misbehaved right in front of my house,1,0,0
in night a guy tried to touch me,0,0,1
they say that they will go and launch with us inside the hotel,0,0,0
touching,0,0,1
I didnt witness but was communicated the same.2 men on bike snatched the chain of a lady and dashed off.It happened during the night.,0,0,0
as I was fetching water some girls wearing short dresses came to fetch water too .the men who were there started questioning their dressing the girls screamed as they were about to be stripped,1,0,0
stalking...,1,1,0
a girl was coming from school and she met a man who was driving. The man called her and promised to buy her anything she needed and even gave her his contacts,0,0,0
